,listing_id,host_id,city,house_title,house_type,price,owner_name,no_of_reviews,rating,occupancy,no_of_guest,bedrooms_no,beds_no,bath_no
491,1481,100381,Orlando,"The Studio: Hip, spacious, cozy | Downtown, MCO",Entire guest suite,60.0,Todd,61,5.0,"['4 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n94 Reviews', '\U000f0019\nVerified']",4.0,1.0,3.0,1.0
492,1482,100382,Orlando,Disney Spring Villa! Only 5 min to Disney #20,Entire apartment,55.0,Andreina,42,4.5,"['6 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n939 Reviews', '\U000f0019\nVerified']",6.0,1.0,2.0,1.0
493,1483,100383,Orlando,Affordable Home Near Everything,Entire house,69.0,Josh,71,4.5,"['8 guests', '4 bedrooms', '5 beds', '2 baths', '\U000f0004\n235 Reviews', '\U000f0019\nVerified']",8.0,4.0,5.0,2.0
495,1484,100384,Orlando,"Amazing House near Universal,Intl Drive&Disney!!!",Entire guest suite,74.0,Gal,77,5.0,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n109 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
496,1485,100385,Orlando,Perfect Studio and location 3214 / Free parking.,Entire serviced apartment,85.0,Jean,153,4.5,"['3 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n720 Reviews', '\U000f0019\nVerified']",3.0,1.0,1.0,1.0
497,1486,100386,Orlando,"*Vacation 3/2 Condo near Universal,Disney,Outlets",Entire apartment,98.0,Vacations,76,5.0,"['7 guests', '3 bedrooms', '5 beds', '2 baths', '\U000f0004\n168 Reviews']",7.0,3.0,5.0,2.0
498,1487,100387,Orlando,"Room w/private bathroom, breakfast included",Private room in house,58.0,Bedandbreakfast,84,5.0,"['4 guests', '1 bedroom', '2 beds', '1 private bath', '\U000f0004\n174 Reviews', '\U000f0019\nVerified']",4.0,1.0,2.0,1.0
499,1488,100388,Orlando,Sleeps 8 near Sea World & Disney,Entire condominium,59.0,Martin & Sarah,195,4.5,"['8 guests', '2 bedrooms', '4 beds', '2 baths', '\U000f0004\n444 Reviews', '\U000f1101\n1 Reference', '\U000f0019\nVerified']",8.0,2.0,4.0,2.0
500,1489,100389,Orlando,Cozy house in the Center of the Attractions.,Entire guest suite,55.0,Gustavo,56,4.5,"['7 guests', '2 bedrooms', '5 beds', '1 bath', '\U000f0004\n165 Reviews', '\U000f0019\nVerified']",7.0,2.0,5.0,1.0
501,1490,100390,Orlando,2 Private rooms with one private bathroom,Private room in condominium,70.0,Zazza,99,5.0,"['4 guests', '2 bedrooms', '3 beds', '1 private bath', '\U000f0004\n101 Reviews', '\U000f0019\nVerified']",4.0,2.0,3.0,1.0
